Date,US dollar (USD),Euro (EUR),Japanese yen (JPY),Pound sterling (GBP),Canadian dollar (CAD),Swiss franc (CHF),Indian rupee (INR),Chinese renmimbi (CNY),Turkish lira (TRY),Saudi riyal (SAR),Indonesian rupiah (IDR),UAE dirham (AED),Thai baht THB),Vietnamese dong (VND),Egyptian pound (EGP),Korean won (KRW),Russian ruble (RUB),South African rand (ZAR),Australian dollar (AUD)
1979-02-07,251.6,153.67,48835.68,124.93,296.91,412.32,2030.96,0.0,0.0,824.64,153677.83,937.15,4941.98,0.0,0.0,119415.05,0.0,215.62,218.4
1979-02-08,250.5,153.49,50293.31,124.94,303.28,420.59,2081.04,0.0,0.0,844.98,157467.47,960.26,5063.85,0.0,0.0,122359.78,0.0,217.64,223.09
1979-02-09,246.75,151.3,48548.55,123.25,291.41,405.69,2000.87,0.0,0.0,812.59,151432.5,923.46,4869.78,0.0,0.0,117670.31,0.0,208.84,214.72
1979-02-12,244.25,150.01,49820.36,121.88,297.99,415.38,2046.37,0.0,0.0,840.72,156000.02,961.53,5036.84,0.0,0.0,120300.06,0.0,214.33,219.96
1979-02-13,240.6,148.1,48714.8,120.09,291.01,406.46,2000.6,0.0,0.0,822.06,152538.2,940.2,4925.06,0.0,0.0,117630.47,0.0,208.71,214.41
1979-02-14,240.65,148.25,47638.54,120.03,283.22,397.88,1946.67,0.0,0.0,799.9,148426.06,914.85,4792.29,0.0,0.0,114459.38,0.0,202.58,209.87
1979-02-15,247.75,152.37,49146.71,123.63,292.56,408.03,2008.3,0.0,0.0,825.22,153125.02,943.81,4944.01,0.0,0.0,118083.0,0.0,209.82,216.39
1979-02-16,247.05,152.19,49351.91,123.34,293.47,411.88,2016.69,0.0,0.0,828.67,153764.35,947.75,4964.65,0.0,0.0,118576.02,0.0,210.0,217.17
1979-02-19,248.1,152.84,50094.5,123.86,298.26,417.45,2047.39,0.0,0.0,839.89,156000.12,959.52,5087.33,0.0,0.0,120360.21,0.0,213.55,220.5
1979-02-20,247.0,152.24,49921.71,123.22,296.38,414.47,2032.39,0.0,0.0,833.88,154884.13,952.66,5050.94,0.0,0.0,119499.17,0.0,209.96,219.3
1979-02-21,250.75,154.63,50398.61,124.91,297.8,417.09,2039.17,0.0,0.0,836.67,155400.89,955.84,5067.79,0.0,0.0,119897.88,0.0,210.97,220.52
1979-02-22,252.35,155.4,50607.37,125.58,300.21,420.48,2052.67,0.0,0.0,842.21,156429.89,962.16,5101.35,0.0,0.0,120691.79,0.0,212.58,222.3
1979-02-23,251.0,154.44,50405.39,124.75,299.39,417.97,2041.96,0.0,0.0,837.81,155613.42,957.14,5074.72,0.0,0.0,120061.85,0.0,211.74,221.32
1979-02-26,248.6,152.73,50592.58,123.01,299.65,416.75,2034.48,0.0,0.0,837.22,156436.94,957.36,5042.23,0.0,0.0,119622.72,0.0,211.49,221.69
1979-02-27,247.9,152.46,50111.39,122.57,296.26,412.9,2012.67,0.0,0.0,828.25,154759.64,947.09,4988.16,0.0,0.0,118340.15,0.0,210.3,219.5
1979-02-28,251.3,154.64,50209.08,124.19,295.5,413.61,2011.68,0.0,0.0,827.84,154683.13,946.62,4985.7,0.0,0.0,119929.27,0.0,209.36,219.63
1979-03-01,248.8,153.27,50821.01,122.96,295.69,417.66,2023.86,0.0,0.0,832.85,155619.47,952.35,5015.88,0.0,0.0,120655.24,0.0,210.18,221.15
1979-03-02,248.0,152.83,50920.81,122.65,295.01,417.27,2020.48,0.0,0.0,831.46,155360.12,950.77,5007.52,0.0,0.0,120454.16,0.0,209.98,221.27
1979-03-05,238.15,147.01,49760.54,117.75,287.46,407.87,1972.05,0.0,0.0,813.94,151749.81,929.18,4898.62,0.0,0.0,117567.52,0.0,204.76,215.97
1979-03-06,239.75,147.91,48982.65,118.4,283.85,401.2,1941.23,0.0,0.0,801.21,149377.56,914.66,4822.04,0.0,0.0,115729.63,0.0,202.0,212.89
1979-03-07,242.25,149.08,49423.0,119.07,286.72,403.83,1953.97,0.0,0.0,806.47,150357.7,920.66,4853.68,0.0,0.0,116488.99,0.0,203.98,214.88
1979-03-08,239.2,147.09,48791.81,117.11,281.88,397.93,1919.78,0.0,0.0,792.36,147726.39,904.55,4768.74,0.0,0.0,114450.39,0.0,201.03,212.23
1979-03-09,241.0,148.43,49315.21,118.22,284.09,401.72,1938.05,0.0,0.0,799.9,149132.48,913.16,4814.13,0.0,0.0,115539.75,0.0,202.65,213.78
1979-03-12,240.0,148.01,49652.41,117.59,283.92,403.54,1939.69,0.0,0.0,806.48,150625.11,924.56,4867.23,0.0,0.0,115638.16,0.0,203.02,214.49
1979-03-13,239.1,147.76,50063.34,117.23,280.6,403.21,1963.4,0.0,0.0,801.72,149735.16,919.1,4838.48,0.0,0.0,114954.93,0.0,202.18,214.16
1979-03-14,239.5,147.76,49758.35,117.57,281.06,402.78,1969.91,0.0,0.0,804.38,150231.95,922.15,4854.53,0.0,0.0,115336.32,0.0,202.31,214.34
1979-03-15,240.1,148.22,49673.74,117.93,281.38,403.4,1970.06,0.0,0.0,804.44,150243.18,922.22,4854.89,0.0,0.0,115344.94,0.0,202.1,214.07
1979-03-16,244.0,150.77,49687.0,120.17,280.78,403.1,1972.92,0.0,0.0,805.61,150461.67,923.56,4861.95,0.0,0.0,115512.68,0.0,202.3,214.02
1979-03-19,242.25,149.66,50584.67,119.72,284.58,410.89,2016.94,0.0,0.0,821.17,152500.4,938.14,4947.83,0.0,0.0,118090.17,0.0,206.31,217.77
1979-03-20,242.1,149.41,50126.49,119.11,282.96,407.5,1991.55,0.0,0.0,810.83,150580.67,926.33,4885.54,0.0,0.0,116603.61,0.0,204.09,216.04
1979-03-21,239.9,148.28,49778.12,118.09,280.16,407.03,1977.71,0.0,0.0,805.2,149534.18,919.89,4851.59,0.0,0.0,115793.24,0.0,203.37,214.96
1979-03-22,242.85,149.85,49959.64,119.42,283.69,410.31,1997.98,0.0,0.0,813.45,151066.25,929.32,4901.3,0.0,0.0,116979.62,0.0,205.0,216.86
1979-03-23,242.5,149.7,49816.19,119.02,282.68,409.05,1987.49,0.0,0.0,809.18,150273.2,924.44,4875.57,0.0,0.0,116365.52,0.0,203.97,215.78
1979-03-26,245.25,150.98,50353.08,119.43,285.17,411.03,1989.92,0.0,0.0,817.31,152687.68,933.9,4937.16,0.0,0.0,116508.05,0.0,205.52,217.53
1979-03-27,244.35,150.72,51005.19,118.99,287.86,415.3,2006.21,0.0,0.0,824.0,153937.68,941.54,4977.58,0.0,0.0,117461.86,0.0,208.4,219.85
1979-03-28,244.4,150.69,50684.14,119.25,283.71,410.53,1988.91,0.0,0.0,816.89,152609.86,933.42,4934.64,0.0,0.0,116448.67,0.0,206.3,218.08
1979-03-29,241.5,149.12,50335.83,117.49,281.09,408.45,1966.02,0.0,0.0,807.49,150853.27,922.68,4877.84,0.0,0.0,115108.3,0.0,203.93,215.8
1979-03-30,240.1,148.04,50274.29,116.22,278.16,406.2,1940.16,0.0,0.0,796.73,148844.15,910.39,4812.88,0.0,0.0,116123.63,0.0,202.37,214.55
1979-04-02,239.7,148.52,50844.06,115.94,277.61,409.19,1948.09,0.0,0.0,807.93,150001.58,922.85,4849.63,0.0,0.0,116233.1,0.0,203.14,215.22
1979-04-03,240.0,148.77,51208.13,116.17,278.1,409.03,1942.59,0.0,0.0,808.18,150047.94,923.14,4851.13,0.0,0.0,116269.03,0.0,202.92,215.57
1979-04-04,239.75,148.51,51481.05,115.99,276.98,409.24,1940.84,0.0,0.0,807.45,149912.8,922.31,4846.76,0.0,0.0,116164.31,0.0,202.73,215.73
1979-04-05,240.65,149.14,51850.43,116.0,276.96,411.85,1939.47,0.0,0.0,806.88,149806.87,921.66,4843.33,0.0,0.0,116082.23,0.0,202.88,216.33
1979-04-06,239.75,148.52,51488.37,114.91,275.83,410.01,1922.7,0.0,0.0,799.91,148511.76,913.69,4801.46,0.0,0.0,115078.67,0.0,203.42,216.07
1979-04-09,240.2,149.87,51461.34,114.71,276.33,414.61,1957.59,0.0,0.0,808.02,150000.08,919.2,4835.25,0.0,0.0,114762.1,0.0,203.09,215.59
1979-04-10,239.75,149.27,50895.09,114.06,274.82,411.78,1946.32,0.0,0.0,803.61,149180.18,914.17,4808.82,0.0,0.0,114134.81,0.0,202.61,215.55
1979-04-11,238.35,148.25,50867.47,114.21,274.27,410.15,1956.22,0.0,0.0,807.69,149938.73,918.82,4833.27,0.0,0.0,114715.17,0.0,203.36,215.96
1979-04-12,233.95,145.91,50311.23,112.42,267.73,403.44,1917.55,0.0,0.0,824.3,146059.78,900.66,4740.54,0.0,0.0,112447.72,0.0,198.49,211.18
1979-04-13,233.95,145.88,50311.23,112.42,267.73,403.44,1917.55,0.0,0.0,824.3,146059.78,900.66,4740.54,0.0,0.0,112447.72,0.0,198.49,211.18
1979-04-16,233.95,145.88,50311.23,112.42,267.73,403.44,1917.55,0.0,0.0,824.3,146059.78,898.41,4740.54,0.0,0.0,112447.72,0.0,198.49,211.18
1979-04-17,231.9,144.82,50326.73,111.22,264.89,399.22,1897.5,0.0,0.0,815.67,144532.02,889.02,4690.95,0.0,0.0,111271.53,0.0,196.42,209.31
1979-04-18,233.2,145.35,50551.03,112.49,267.42,402.71,1931.54,0.0,0.0,830.31,147125.4,904.97,4775.13,0.0,0.0,113268.11,0.0,199.32,211.93
1979-04-19,240.9,149.87,52131.66,115.93,275.62,413.46,1980.31,0.0,0.0,851.27,150839.67,927.82,4895.68,0.0,0.0,116127.64,0.0,204.7,217.46
1979-04-20,236.4,147.67,51974.41,114.34,271.15,410.38,1965.59,0.0,0.0,844.94,149718.52,920.92,4859.29,0.0,0.0,115264.49,0.0,201.74,215.26
1979-04-23,236.85,147.78,51665.49,114.5,270.34,407.09,1953.91,0.0,0.0,799.87,147936.08,908.58,4785.21,0.0,0.0,114579.4,0.0,200.83,213.81
1979-04-24,239.7,149.25,52353.13,115.94,273.72,412.09,1982.11,0.0,0.0,811.42,150071.21,921.69,4854.27,0.0,0.0,116233.1,0.0,203.14,216.96
1979-04-25,241.8,150.41,52722.45,118.44,275.51,414.5,2020.73,0.0,0.0,827.23,152995.69,939.65,4948.87,0.0,0.0,118498.16,0.0,205.92,219.06
1979-04-26,242.2,150.7,52836.38,118.55,277.52,414.51,2025.1,0.0,0.0,829.02,153326.3,941.69,4959.56,0.0,0.0,118754.23,0.0,205.65,219.11
1979-04-27,243.7,151.15,53323.18,118.59,277.19,416.31,2016.6,0.0,0.0,825.53,152682.61,937.73,4938.74,0.0,0.0,118255.67,0.0,205.2,219.91
1979-04-30,245.3,152.76,54144.57,118.82,278.53,420.01,2013.1,0.0,0.0,819.39,152453.63,930.21,4890.99,0.0,0.0,117423.25,0.0,206.91,221.12
1979-05-01,247.3,152.8,54994.56,119.56,281.59,423.91,2044.71,0.0,0.0,832.25,154846.94,944.82,4967.77,0.0,0.0,119266.63,0.0,208.96,223.85
1979-05-02,246.3,153.16,55508.85,119.1,281.48,425.11,2036.12,0.0,0.0,828.76,154196.54,940.85,4946.9,0.0,0.0,118765.67,0.0,209.28,224.3
1979-05-03,246.5,153.28,55244.06,118.68,281.31,423.5,2019.55,0.0,0.0,822.15,152968.07,933.35,4907.49,0.0,0.0,117819.48,0.0,208.5,223.28
1979-05-04,248.45,154.48,54691.29,119.56,284.42,426.27,2034.54,0.0,0.0,838.84,154750.13,940.12,5002.35,0.0,0.0,118673.52,0.0,209.11,224.25
1979-05-07,248.45,154.48,54691.29,119.56,284.42,426.27,2034.54,0.0,0.0,838.84,154750.13,940.12,5002.35,0.0,0.0,118673.52,0.0,209.11,224.25
1979-05-08,248.95,154.76,56574.9,120.41,289.35,429.0,2065.99,0.0,0.0,851.95,157169.3,954.81,5080.55,0.0,0.0,120528.72,0.0,211.17,225.45
1979-05-09,247.95,154.12,52685.41,119.93,286.54,423.51,2039.57,0.0,0.0,841.06,155159.14,942.6,5015.57,0.0,0.0,118987.18,0.0,208.47,221.91
1979-05-10,252.25,157.08,53975.2,123.08,291.67,432.29,2096.63,0.0,0.0,864.59,159500.1,968.97,5155.89,0.0,0.0,122316.14,0.0,214.3,227.2
1979-05-11,251.5,156.73,54146.96,123.1,291.68,433.36,2103.3,0.0,0.0,867.34,160007.66,972.06,5172.3,0.0,0.0,122705.37,0.0,213.75,227.92
1979-05-14,251.0,156.42,53537.46,122.8,291.36,431.12,2089.98,0.0,0.0,843.23,156687.52,961.59,5089.43,0.0,0.0,122157.99,0.0,212.8,225.8
1979-05-15,255.5,159.57,54229.82,123.85,294.12,437.89,2066.64,0.0,0.0,844.46,156916.4,962.99,5096.87,0.0,0.0,122336.43,0.0,213.11,227.73
1979-05-16,256.5,160.1,54922.95,124.45,296.05,442.68,2090.69,0.0,0.0,854.29,158742.23,974.2,5156.17,0.0,0.0,123759.9,0.0,216.21,230.56
1979-05-17,256.8,160.68,55795.87,124.9,297.64,446.49,2107.23,0.0,0.0,861.05,159998.27,981.91,5196.97,0.0,0.0,124739.14,0.0,217.48,232.7
1979-05-18,256.4,161.08,56328.17,125.2,297.17,448.24,2115.46,0.0,0.0,864.41,160623.29,985.74,5217.27,0.0,0.0,125226.43,0.0,216.89,233.11
1979-05-21,262.0,164.85,57123.69,128.21,302.2,454.69,2148.92,0.0,0.0,885.11,163164.92,1000.06,5288.33,0.0,0.0,127207.95,0.0,220.32,236.09
1979-05-22,265.4,166.79,58180.64,129.75,307.21,461.23,2181.38,0.0,0.0,898.48,165628.44,1015.16,5368.18,0.0,0.0,129128.58,0.0,223.0,239.85
1979-05-23,264.15,165.89,57750.83,128.42,304.38,457.14,2154.46,0.0,0.0,887.39,163584.67,1002.64,5301.94,0.0,0.0,127535.2,0.0,221.53,238.49
1979-05-24,263.75,165.43,57519.28,128.47,303.87,456.05,2155.38,0.0,0.0,887.77,163654.52,1003.06,5304.2,0.0,0.0,127589.66,0.0,221.24,238.28
1979-05-25,270.6,170.0,59393.01,131.94,313.03,469.48,2215.71,0.0,0.0,917.89,168828.9,1031.15,5469.16,0.0,0.0,131161.73,0.0,227.83,244.75
1979-05-28,270.6,169.99,59393.01,131.94,313.03,469.48,2215.71,0.0,0.0,917.89,168828.9,1031.15,5469.16,0.0,0.0,131161.73,0.0,227.83,244.75
1979-05-29,273.8,172.21,61318.27,133.2,319.75,480.87,2259.99,0.0,0.0,936.23,172201.57,1051.75,5578.42,0.0,0.0,133781.93,0.0,232.31,250.04
1979-05-30,270.25,169.65,60036.88,131.32,316.31,472.88,2228.63,0.0,0.0,923.24,169811.99,1037.15,5501.01,0.0,0.0,131925.49,0.0,230.08,247.17
1979-05-31,274.6,172.0,61057.09,132.69,321.62,478.01,2253.41,0.0,0.0,933.26,171656.12,1048.41,5560.75,0.0,0.0,133889.58,0.0,233.65,250.72
1979-06-01,275.1,172.68,61222.17,132.61,322.65,479.84,2244.73,0.0,0.0,929.67,170995.25,1044.38,5539.34,0.0,0.0,133374.11,0.0,233.22,250.02
1979-06-04,272.9,171.04,60143.81,131.34,321.58,472.89,2215.48,0.0,0.0,929.64,170917.71,1049.47,5525.19,0.0,0.0,131670.31,0.0,231.23,247.07
1979-06-05,274.75,172.29,60913.26,132.06,323.92,478.56,2230.97,0.0,0.0,935.9,172068.35,1056.54,5562.39,0.0,0.0,132556.74,0.0,232.65,249.42
1979-06-06,280.0,175.7,61851.48,135.0,329.53,487.39,2277.73,0.0,0.0,955.52,175674.45,1078.68,5678.96,0.0,0.0,135334.78,0.0,236.85,254.04
1979-06-07,276.05,173.15,61289.15,133.65,329.06,483.08,2275.69,0.0,0.0,954.66,175517.52,1077.72,5673.89,0.0,0.0,135213.88,0.0,235.96,252.73
1979-06-08,280.0,175.45,60878.73,135.72,325.94,480.37,2262.95,0.0,0.0,949.32,174534.72,1071.68,5642.12,0.0,0.0,134456.76,0.0,234.64,250.98
1979-06-11,282.35,176.98,61768.21,136.48,331.84,489.37,2297.86,0.0,0.0,956.9,176500.1,1081.11,5682.67,0.0,0.0,136496.64,0.0,238.2,254.72
1979-06-12,277.75,173.99,61274.02,132.8,327.57,483.06,2244.19,0.0,0.0,934.78,172420.68,1056.13,5551.33,0.0,0.0,133341.81,0.0,234.56,251.23
1979-06-13,276.6,173.07,60790.57,131.46,323.41,477.66,2208.46,0.0,0.0,919.9,169675.58,1039.31,5462.95,0.0,0.0,131218.88,0.0,232.93,249.59
1979-06-14,279.0,174.47,61359.15,133.12,326.85,481.56,2238.78,0.0,0.0,932.53,172005.16,1053.58,5537.95,0.0,0.0,133020.46,0.0,234.79,251.69
1979-06-15,280.0,174.13,61190.07,132.92,327.23,474.34,2257.8,0.0,0.0,929.45,171438.26,1050.11,5519.7,0.0,0.0,132582.05,0.0,234.68,251.46
1979-06-18,278.0,172.81,61551.66,131.99,328.03,478.59,2263.05,0.0,0.0,950.53,174950.29,1074.16,5649.99,0.0,0.0,132933.45,0.0,235.97,252.32
1979-06-19,280.3,172.97,61040.1,132.0,328.57,469.72,2238.92,0.0,0.0,940.09,173029.11,1062.37,5587.95,0.0,0.0,131473.67,0.0,233.38,249.55
1979-06-20,281.35,173.13,61423.72,131.9,329.46,469.81,2240.93,0.0,0.0,940.93,173183.97,1063.32,5592.95,0.0,0.0,131591.34,0.0,236.22,251.49
1979-06-21,282.3,173.45,61430.43,131.92,329.77,465.97,2232.8,0.0,0.0,937.52,172555.92,1059.46,5572.66,0.0,0.0,131114.13,0.0,237.0,252.02
1979-06-22,283.45,173.68,60816.15,132.36,331.26,466.32,2274.3,0.0,0.0,941.2,173233.88,1063.62,5594.56,0.0,0.0,131629.26,0.0,238.26,252.9
1979-06-25,283.85,172.89,60879.62,131.47,332.82,467.8,2275.74,0.0,0.0,959.32,173414.67,1091.09,5692.64,0.0,0.0,131766.63,0.0,240.49,253.93
1979-06-26,281.45,172.23,60781.43,130.79,328.53,468.63,2263.2,0.0,0.0,953.64,172388.72,1084.63,5658.96,0.0,0.0,130987.08,0.0,237.75,251.05
1979-06-27,281.8,172.09,60768.25,130.71,326.94,465.94,2251.79,0.0,0.0,948.83,171519.62,1079.17,5630.43,0.0,0.0,130326.71,0.0,237.86,251.15
1979-06-28,275.9,168.39,60922.36,127.2,327.99,465.59,2240.68,0.0,0.0,944.15,170673.4,1073.84,5602.65,0.0,0.0,129683.72,0.0,237.98,250.69
1979-06-29,277.5,169.03,60161.4,127.29,322.55,457.71,2190.55,0.0,0.0,923.02,166854.38,1049.81,5477.29,0.0,0.0,133065.59,0.0,232.34,245.46
1979-07-02,282.5,172.26,61572.11,129.08,329.85,467.43,2252.74,0.0,0.0,943.89,176657.16,1071.55,5671.08,0.0,0.0,135330.21,0.0,238.87,252.09
1979-07-03,281.35,171.44,61559.81,127.71,328.36,467.21,2210.03,0.0,0.0,936.35,175245.6,1062.99,5625.77,0.0,0.0,134248.86,0.0,236.65,251.04
1979-07-04,283.5,172.12,61420.92,127.39,329.19,467.82,2199.33,0.0,0.0,931.82,174397.23,1057.84,5598.53,0.0,0.0,133598.96,0.0,239.96,252.18
1979-07-05,288.25,174.68,62193.33,129.26,333.88,473.12,2221.23,0.0,0.0,941.1,176134.09,1068.38,5654.29,0.0,0.0,134929.5,0.0,244.27,255.2
1979-07-06,290.25,176.45,63156.55,130.71,336.33,482.25,2257.97,0.0,0.0,956.66,179047.03,1086.04,5747.8,0.0,0.0,137160.99,0.0,245.7,258.44
1979-07-09,287.85,175.53,63192.96,130.72,335.6,483.67,2328.72,0.0,0.0,977.88,181342.05,1107.03,5871.21,0.0,0.0,138313.36,0.0,245.79,258.18
1979-07-10,290.5,176.61,63110.59,130.71,336.05,482.3,2307.18,0.0,0.0,968.52,179607.39,1096.44,5815.05,0.0,0.0,136990.3,0.0,244.74,257.53
1979-07-11,290.3,175.8,63196.57,130.03,336.94,481.3,2300.81,0.0,0.0,965.85,179111.19,1093.41,5798.98,0.0,0.0,136611.84,0.0,245.76,258.58
1979-07-12,290.75,176.13,63164.43,130.53,336.9,481.24,2306.77,0.0,0.0,968.35,179574.92,1096.24,5814.0,0.0,0.0,136965.54,0.0,246.0,258.73
1979-07-13,287.45,174.13,62730.71,128.96,335.21,476.47,2288.56,0.0,0.0,960.71,178157.79,1087.59,5768.12,0.0,0.0,135884.67,0.0,242.96,255.52
1979-07-16,292.8,176.89,63166.98,130.6,337.74,479.6,2297.37,0.0,0.0,973.5,182092.48,1100.87,5848.79,0.0,0.0,136407.4,0.0,245.97,258.19
1979-07-17,296.3,178.16,64137.25,130.47,343.76,484.37,2307.73,0.0,0.0,977.89,182913.56,1105.84,5875.17,0.0,0.0,137022.48,0.0,249.37,262.82
1979-07-18,302.15,181.13,64895.16,132.67,353.56,495.22,2358.62,0.0,0.0,999.11,186882.04,1129.83,6002.64,0.0,0.0,139995.31,0.0,256.78,268.92
1979-07-19,299.15,179.47,64755.67,130.41,349.48,490.57,2344.43,0.0,0.0,979.84,183278.17,1108.04,5886.88,0.0,0.0,137295.62,0.0,251.83,265.5
1979-07-20,298.75,180.51,64874.21,131.43,347.48,491.15,2353.48,0.0,0.0,983.62,183985.36,1112.32,5909.59,0.0,0.0,137825.38,0.0,252.14,265.01
1979-07-23,304.9,183.26,65495.3,132.48,352.87,495.34,2365.21,0.0,0.0,1015.74,189692.33,1148.97,6068.04,0.0,0.0,138444.25,0.0,254.07,267.98
1979-07-24,305.25,183.27,65716.24,131.29,356.99,500.95,2362.5,0.0,0.0,1015.08,189568.62,1148.22,6064.09,0.0,0.0,138353.97,0.0,257.06,269.72
1979-07-25,303.35,182.68,65194.28,130.67,353.05,497.28,2339.04,0.0,0.0,1005.0,187686.42,1136.82,6003.88,0.0,0.0,136980.27,0.0,253.86,266.91
1979-07-26,305.2,183.91,65100.5,131.02,354.25,498.17,2331.01,0.0,0.0,1001.55,187041.99,1132.92,5983.26,0.0,0.0,136509.95,0.0,254.09,266.97
1979-07-27,305.8,184.56,65782.55,132.27,357.44,502.62,2367.26,0.0,0.0,1017.12,189950.42,1150.53,6076.3,0.0,0.0,138632.62,0.0,256.59,269.93
1979-07-30,301.4,182.35,66160.16,130.28,355.55,505.25,2359.38,0.0,0.0,1025.65,190251.6,1158.63,6161.78,0.0,0.0,138179.79,0.0,255.89,269.38
1979-07-31,296.45,179.68,63972.92,131.87,345.15,490.63,2354.14,0.0,0.0,1023.3,189816.97,1155.98,6147.7,0.0,0.0,145048.8,0.0,248.8,262.79
1979-08-01,290.1,175.64,62918.9,127.77,340.97,482.71,2297.66,0.0,0.0,998.75,185262.99,1128.24,6000.21,0.0,0.0,141568.87,0.0,242.96,257.64
